design,latency,nshares,area_ge,area_ge_wrng,solve_time,rnd_bits
skinny8,4,2,844.6666666666666,1301.4244791666665,0.5353689193725586,12
skinny8,5,2,984.3333333333334,1326.9016927083335,0.8010668754577637,9
skinny8,6,2,1102.6666666666665,1407.1718749999998,1.1147782802581787,8
skinny8,4,3,1850.6666666666667,3220.940104166667,0.5353765487670898,36
skinny8,5,3,2134.6666666666665,3162.3717447916665,0.842994213104248,27
skinny8,6,3,2337.0,3250.515625,1.1473147869110107,24
skinny8,4,4,3324.666666666666,6065.213541666666,0.5539803504943848,72
skinny8,5,4,3860.0,5915.41015625,0.841261625289917,54
skinny8,6,4,4182.0,6009.03125,1.1069507598876953,48
skinny8,4,5,5110.666666666666,9678.244791666666,0.5721440315246582,120
skinny8,5,5,5887.333333333332,9313.016927083332,0.8140203952789307,90
skinny8,6,5,6325.666666666666,9370.71875,1.0443150997161865,80
